pygame 2.4.0 (SDL 2.26.4, Python 3.9.21)
episodic_return=0.051750113229403746, episodic_length=200
episodic_return=0.052459723281490754, episodic_length=201
episodic_return=0.0035695554337092997, episodic_length=202
episodic_return=0.00736325733493412, episodic_length=203
episodic_return=-7.508700378241434e-05, episodic_length=203
Warning: trajectory cut off by epoch at 70 steps.
episodic_return=-0.0024416928506690383, episodic_length=201
episodic_return=0.08963240779492046, episodic_length=201
episodic_return=0.09361017769739192, episodic_length=200
episodic_return=-0.02933188518641877, episodic_length=201
episodic_return=-0.02906655751651092, episodic_length=200
episodic_return=0.008338847465594382, episodic_length=200
episodic_return=0.1230411192743961, episodic_length=202
episodic_return=0.05085258256392364, episodic_length=200
episodic_return=0.11280304811930202, episodic_length=202
episodic_return=0.18169886412794395, episodic_length=201
episodic_return=0.023739592271214197, episodic_length=205
episodic_return=0.03597372083440323, episodic_length=200
episodic_return=0.08867952127226893, episodic_length=203
episodic_return=0.1218039394799827, episodic_length=201
episodic_return=0.10163889420507811, episodic_length=200
episodic_return=0.0623139572692955, episodic_length=201
episodic_return=0.019455230895426764, episodic_length=200
episodic_return=-0.07068119307797206, episodic_length=201
episodic_return=0.04028776379904999, episodic_length=201
episodic_return=-0.031640945555931915, episodic_length=201
episodic_return=0.043065082588778406, episodic_length=200
episodic_return=0.0038361749866766435, episodic_length=200
episodic_return=0.08109481598798261, episodic_length=205
episodic_return=0.09649080643011194, episodic_length=202
episodic_return=0.08573323320223916, episodic_length=206
episodic_return=0.012624726307405184, episodic_length=202
episodic_return=0.08088721737620531, episodic_length=200
episodic_return=0.15486211748411824, episodic_length=201
episodic_return=0.13573476502964268, episodic_length=203
episodic_return=0.05261838156698724, episodic_length=203
episodic_return=0.06543188408229307, episodic_length=200
episodic_return=0.0735760100045115, episodic_length=200
episodic_return=0.0610099267263675, episodic_length=201
episodic_return=0.13639273042936687, episodic_length=204
episodic_return=0.09855668115998366, episodic_length=200
episodic_return=0.16693117427471976, episodic_length=204
episodic_return=0.13925524004453485, episodic_length=200
episodic_return=0.07049568091762357, episodic_length=206
episodic_return=0.06211068935711469, episodic_length=205
episodic_return=0.063304880994907, episodic_length=200
episodic_return=0.10865907295538935, episodic_length=200
episodic_return=0.07166836759484993, episodic_length=202
episodic_return=0.027042546123714612, episodic_length=200
episodic_return=0.08042985144526812, episodic_length=200
episodic_return=0.15221590016294537, episodic_length=202
episodic_return=0.02152802400242149, episodic_length=201
episodic_return=0.07586764328310136, episodic_length=200
episodic_return=-0.013492306768081101, episodic_length=202
episodic_return=0.13112854332985427, episodic_length=207
episodic_return=0.07689014657827352, episodic_length=202
episodic_return=0.06545053299720806, episodic_length=205
Warning: trajectory cut off by epoch at 22 steps.
Early stopping at step 38 due to reaching max kl.
episodic_return=0.09508497163594345, episodic_length=202
episodic_return=0.08198172175825306, episodic_length=200
episodic_return=0.03430738700790011, episodic_length=202
episodic_return=0.042403455967224495, episodic_length=201
episodic_return=0.10792076110250158, episodic_length=202
episodic_return=0.12187347902201469, episodic_length=200
episodic_return=0.10631167575662812, episodic_length=201
episodic_return=0.04201733137423046, episodic_length=204
episodic_return=0.025847822637130848, episodic_length=204
episodic_return=0.06483928330609891, episodic_length=203
episodic_return=0.06552983102267275, episodic_length=204
episodic_return=0.09410712914820361, episodic_length=206
episodic_return=0.10531850729431315, episodic_length=200
episodic_return=0.21537594773174648, episodic_length=200
episodic_return=0.1543902587253804, episodic_length=201
episodic_return=0.11077862530779901, episodic_length=200
episodic_return=0.014437084618017222, episodic_length=201
episodic_return=0.05739318201068736, episodic_length=202
episodic_return=0.1886009017983644, episodic_length=201
episodic_return=0.13726404298842687, episodic_length=202
episodic_return=0.03713866438907871, episodic_length=201
episodic_return=0.025029416450980297, episodic_length=200
episodic_return=0.12746310957179624, episodic_length=201
episodic_return=0.09924977240795742, episodic_length=200
episodic_return=0.10428264982091237, episodic_length=200
episodic_return=0.09406652367527421, episodic_length=206
episodic_return=0.14043877827300041, episodic_length=201
episodic_return=0.11086785325842473, episodic_length=200
episodic_return=0.11641432643554313, episodic_length=200
episodic_return=0.05121026034461688, episodic_length=201
episodic_return=0.24502113047241114, episodic_length=203
episodic_return=0.029247838037659492, episodic_length=200
episodic_return=0.11741221561498563, episodic_length=200
episodic_return=0.0797972721921039, episodic_length=205
episodic_return=0.04705489079583819, episodic_length=200
episodic_return=0.08707416416856066, episodic_length=200
episodic_return=0.15044635949860094, episodic_length=200
episodic_return=0.1430647965161671, episodic_length=202
episodic_return=0.11799616501763076, episodic_length=204
episodic_return=0.0549692542232917, episodic_length=200
episodic_return=0.19878302783210583, episodic_length=200
episodic_return=0.11885566077583255, episodic_length=200
episodic_return=0.022185183923060053, episodic_length=200
episodic_return=0.03334054764628241, episodic_length=200
episodic_return=0.11641958060777938, episodic_length=204
episodic_return=0.08817441547028387, episodic_length=200
episodic_return=0.06904543701535583, episodic_length=201
episodic_return=0.11515150244078147, episodic_length=200
episodic_return=0.03106486053136636, episodic_length=204
episodic_return=0.1585707792809884, episodic_length=204
episodic_return=0.13079913876119548, episodic_length=200
episodic_return=0.1456045181660156, episodic_length=202
Warning: trajectory cut off by epoch at 63 steps.
Early stopping at step 13 due to reaching max kl.
episodic_return=0.10318492029416684, episodic_length=206
episodic_return=0.1153178509034601, episodic_length=208
episodic_return=0.10997784203298289, episodic_length=202
episodic_return=0.16234650626368366, episodic_length=200
episodic_return=0.062295594262182306, episodic_length=204
episodic_return=0.14534917406498632, episodic_length=204
episodic_return=0.22201165597821892, episodic_length=201
episodic_return=0.19023870951271118, episodic_length=202
episodic_return=0.22233810587401545, episodic_length=200
episodic_return=0.08417810017896193, episodic_length=200
episodic_return=0.08659154495342138, episodic_length=200
episodic_return=0.14062411347008832, episodic_length=200
episodic_return=0.18395654283475085, episodic_length=200
episodic_return=0.13838733578580414, episodic_length=201
episodic_return=0.16066218491856124, episodic_length=203
episodic_return=0.028185233564494924, episodic_length=201
episodic_return=0.17193200923242194, episodic_length=200
episodic_return=0.1324082174671134, episodic_length=202
episodic_return=0.09050778837111001, episodic_length=204
episodic_return=0.1716578785236995, episodic_length=205
episodic_return=0.09342622393632123, episodic_length=200
episodic_return=0.11268477416998418, episodic_length=200
episodic_return=0.16489166720491363, episodic_length=201
episodic_return=0.16188999663024828, episodic_length=204
episodic_return=0.20572343859528666, episodic_length=202
episodic_return=0.11426739951498932, episodic_length=201
episodic_return=0.1686297594900692, episodic_length=201
episodic_return=0.1170417696199901, episodic_length=205
episodic_return=0.2337393749033835, episodic_length=201
episodic_return=0.09238305013401428, episodic_length=200
episodic_return=0.23527824699784955, episodic_length=200
episodic_return=0.1637262493105991, episodic_length=200
episodic_return=0.14272166627941452, episodic_length=201
episodic_return=0.21932479067970634, episodic_length=200
episodic_return=0.1273625758020631, episodic_length=200
episodic_return=0.1671671235492576, episodic_length=200
episodic_return=0.15424433403940796, episodic_length=201
episodic_return=0.18467230263072895, episodic_length=201
episodic_return=0.18063322173160973, episodic_length=202
episodic_return=0.1938849380597287, episodic_length=200
episodic_return=0.19194308389309245, episodic_length=201
episodic_return=0.08733424238220434, episodic_length=204
episodic_return=0.17024475534971373, episodic_length=203
episodic_return=0.06100356148173519, episodic_length=200
episodic_return=0.1476494299356691, episodic_length=206
episodic_return=0.17695227699822927, episodic_length=205
episodic_return=0.11898606869227586, episodic_length=201
episodic_return=0.1900549068930497, episodic_length=204
episodic_return=0.13650291161656258, episodic_length=200
episodic_return=0.06006323483596013, episodic_length=200
episodic_return=0.10456574941276267, episodic_length=202
episodic_return=0.08115023274103361, episodic_length=202
episodic_return=0.09129881816738945, episodic_length=202
episodic_return=-0.014096687185539867, episodic_length=204
episodic_return=0.189388854130036, episodic_length=208
Warning: trajectory cut off by epoch at 6 steps.
episodic_return=0.22310742694624458, episodic_length=201
episodic_return=0.18935128214044786, episodic_length=204
episodic_return=0.11885703033356942, episodic_length=201
episodic_return=0.11096801205926948, episodic_length=202
episodic_return=0.19250218064765137, episodic_length=203
episodic_return=0.14365510684104885, episodic_length=200
episodic_return=0.10908189958306917, episodic_length=200
episodic_return=0.22653719890476745, episodic_length=203
episodic_return=0.19109684310255165, episodic_length=200
episodic_return=0.25619906309489665, episodic_length=200
episodic_return=0.20821776226792757, episodic_length=202
episodic_return=0.05913718969173366, episodic_length=200
episodic_return=0.2497726744621796, episodic_length=205
episodic_return=0.23668813044486697, episodic_length=205
episodic_return=0.2657631142497003, episodic_length=203
episodic_return=0.17445621085577076, episodic_length=201
episodic_return=0.1125470991406459, episodic_length=201
episodic_return=0.15227284650674153, episodic_length=204
episodic_return=0.16139729840585418, episodic_length=206
episodic_return=0.09017242421808176, episodic_length=201
episodic_return=0.10516091576371472, episodic_length=201
episodic_return=0.20418702210721587, episodic_length=203
episodic_return=0.10893453573143005, episodic_length=201
episodic_return=0.17940918131910988, episodic_length=202
episodic_return=0.12795222406040846, episodic_length=201
episodic_return=0.19353027081555227, episodic_length=202
episodic_return=0.14986391478086514, episodic_length=202
episodic_return=0.15185042515551664, episodic_length=202
episodic_return=0.03663050650677617, episodic_length=200
episodic_return=0.13438708796674623, episodic_length=200
episodic_return=0.20981444182054307, episodic_length=201
episodic_return=0.20126430932803707, episodic_length=200
episodic_return=0.22286923499223674, episodic_length=201
episodic_return=0.2063271983607196, episodic_length=200
episodic_return=0.1886249724083479, episodic_length=206
episodic_return=0.2124224412341465, episodic_length=200
episodic_return=0.17876052360587757, episodic_length=202
episodic_return=0.23123791720897255, episodic_length=207
episodic_return=0.16309564794989737, episodic_length=201
episodic_return=0.17371928536700093, episodic_length=200
episodic_return=0.2771352661301528, episodic_length=201
episodic_return=0.13927572972044705, episodic_length=201
episodic_return=0.06590075734372221, episodic_length=201
episodic_return=0.09761669419078589, episodic_length=204
episodic_return=0.23203548759254178, episodic_length=202
episodic_return=0.29064724311152623, episodic_length=201
episodic_return=0.18989676244170892, episodic_length=200
episodic_return=0.2144202477993172, episodic_length=201
episodic_return=0.2168556415749396, episodic_length=202
episodic_return=0.19563492514395073, episodic_length=201
episodic_return=0.21174749846058122, episodic_length=202
episodic_return=0.18841565418853518, episodic_length=202
episodic_return=0.19621787423773276, episodic_length=204
episodic_return=0.23680103050368873, episodic_length=200
episodic_return=0.12063650864473603, episodic_length=206
episodic_return=0.19879248409754297, episodic_length=200
episodic_return=0.2109740146406406, episodic_length=203
episodic_return=0.2046926035291779, episodic_length=200
Warning: trajectory cut off by epoch at 3 steps.
episodic_return=0.23638140087169418, episodic_length=201
episodic_return=0.20644533710839483, episodic_length=203
episodic_return=0.14939093220395916, episodic_length=200
episodic_return=0.30620578048022173, episodic_length=205
episodic_return=0.20432328135580566, episodic_length=200
episodic_return=0.2205867233168996, episodic_length=201
episodic_return=0.1888611826618729, episodic_length=202
episodic_return=0.21500998839702523, episodic_length=200
episodic_return=0.24142388540661175, episodic_length=203
episodic_return=0.2067695857570222, episodic_length=204
episodic_return=0.1816942310310226, episodic_length=200
episodic_return=0.25073588229807536, episodic_length=200
episodic_return=0.22458982258200297, episodic_length=200
episodic_return=0.13919409120875278, episodic_length=201
episodic_return=0.257731473318204, episodic_length=200
episodic_return=0.1985227065899833, episodic_length=201
episodic_return=0.221380212131502, episodic_length=202
episodic_return=0.19143464686410386, episodic_length=205
episodic_return=0.2024022702728928, episodic_length=203
episodic_return=0.16671759029161337, episodic_length=204
episodic_return=0.14743212005972658, episodic_length=200
episodic_return=0.15272081863429637, episodic_length=200
episodic_return=0.19119266522285833, episodic_length=200
episodic_return=0.12823593047816448, episodic_length=200
episodic_return=0.17707736788829254, episodic_length=202
episodic_return=0.21039942175774345, episodic_length=206
episodic_return=0.21272261126254274, episodic_length=200
episodic_return=0.2194503779159435, episodic_length=205
episodic_return=0.17801061073544397, episodic_length=202
episodic_return=0.1615770029605187, episodic_length=201
episodic_return=0.1847388622255959, episodic_length=200
episodic_return=0.20706748327912575, episodic_length=201
episodic_return=0.2406948224308486, episodic_length=201
episodic_return=0.1482090031497516, episodic_length=205
episodic_return=0.1817928094041455, episodic_length=200
episodic_return=0.0022751591937475698, episodic_length=205
episodic_return=0.22577273463441772, episodic_length=208
episodic_return=0.22604535871809914, episodic_length=203
episodic_return=0.23076126048895218, episodic_length=206
episodic_return=0.13143451413057186, episodic_length=200
episodic_return=0.19013575713432043, episodic_length=203
episodic_return=0.17967274789111792, episodic_length=201
episodic_return=0.20652455694708477, episodic_length=206
episodic_return=0.23842465577575786, episodic_length=201
episodic_return=0.14856679825229432, episodic_length=201
episodic_return=0.21703259459995586, episodic_length=202
episodic_return=0.17190613051891068, episodic_length=203
episodic_return=0.23270686288341325, episodic_length=203
episodic_return=0.1952525533030793, episodic_length=205
episodic_return=0.21499085915727037, episodic_length=200
episodic_return=0.17836056557947713, episodic_length=201
episodic_return=0.1984423235502965, episodic_length=206
episodic_return=0.22646448016716567, episodic_length=200
episodic_return=0.15094161633672198, episodic_length=201
episodic_return=0.11294010934949716, episodic_length=200
episodic_return=0.17455050686649096, episodic_length=200
